positive,"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",,,
positive,"the film occasionally tries the viewer's patience with slow pacing and a main character who sometimes defies sympathy , but it ultimately satisfies with its moving story .",,,
positive,"a big-budget/all-star movie as unblinkingly pure as the hours is a distinct rarity , and an event .",,,
positive,". . . certainly an entertaining ride , despite many talky , slow scenes . but something seems to be missing . a sense of real magic , perhaps .",,,
positive,that haynes can both maintain and dismantle the facades that his genre and his character construct is a wonderous accomplishment of veracity and narrative grace .,,,
positive,"the movie worked for me right up to the final scene , and then it caved in .",,,
positive,. . . one of the most entertaining monster movies in ages . . .,,,
positive,"plunges you into a reality that is , more often then not , difficult and sad , and then , without sentimentalizing it or denying its brutality , transforms that reality into a lyrical and celebratory vision .",,,
positive,"would you laugh if a tuba-playing dwarf rolled down a hill in a trash can ? do you chuckle at the thought of an ancient librarian whacking a certain part of a man's body ? if you answered yes , by all means enjoy the new guy .",,,
positive,"the film is . . . determined to treat its characters , weak and strong , as fallible human beings , not caricatures , and to carefully delineate the cost of the inevitable conflicts between human urges and an institution concerned with self-preservation .",,,
positive,"missteps take what was otherwise a fascinating , riveting story and send it down the path of the mundane .",,,
positive,an indispensable peek at the art and the agony of making people laugh .,,,
positive,steadfastly uncinematic but powerfully dramatic .,,,
positive,the engagingly primitive animated special effects contribute to a mood that's sustained through the surprisingly somber conclusion .,,,
positive,"made-up lampoons the moviemaking process itself , while shining a not particularly flattering spotlight on america's skin-deep notions of pulchritude .",,,
positive,evokes the 19th century with a subtlety that is an object lesson in period filmmaking .,,,
positive,ya-yas everywhere will forgive the flaws and love the film .,,,
positive,"the film's best trick is the way that it treats conspiracy as a kind of political blair witch , a monstrous murk that haunts us precisely because it can never be seen .",,,
positive,"the artwork is spectacular and unlike most animaton from japan , the characters move with grace and panache .",,,
positive,the picture's fascinating byways are littered with trenchant satirical jabs at the peculiar egocentricities of the acting breed .,,,
positive,the modern remake of dumas's story is long on narrative and ( too ) short on action .,,,
positive,"fred schepisi's film is paced at a speed that is slow to those of us in middle age and deathly slow to any teen . with a cast of a-list brit actors , it is worth searching out .",,,
positive,suffers from its timid parsing of the barn-side target of sons trying to breach gaps in their relationships with their fathers .,,,
positive,"nonchalantly freaky and uncommonly pleasurable , warm water may well be the year's best and most unpredictable comedy .",,,
positive,"it's like an old warner bros . costumer jived with sex -- this could be the movie errol flynn always wanted to make , though bette davis , cast as joan , would have killed him .",,,
positive,it's a great american adventure and a wonderful film to bring to imax .,,,
positive,"satisfyingly scarifying , fresh and old-fashioned at the same time .",,,
positive,"oh , james ! your 20th outing shows off a lot of stamina and vitality , and get this , madonna's cameo doesn't suck !",,,
positive,a genuine mind-bender .,,,
positive,that death is merely a transition is a common tenet in the world's religions . this deeply spiritual film taps into the meaning and consolation in afterlife communications .,,,
positive,there is something that is so meditative and lyrical about babak payami's boldly quirky iranian drama secret ballot . . . a charming and evoking little ditty that manages to show the gentle and humane side of middle eastern world politics,,,
positive,"a huge box-office hit in korea , shiri is a must for genre fans .",,,
positive,". . . planos fijos , tomas largas , un ritmo pausado y una sutil observaciÛn de sus personajes , sin estridencias ni grandes revelaciones .",,,
positive,"i'm not a fan of the phrase 'life affirming' because it usually means 'schmaltzy , ' but real women have curves truly is life affirming .",,,
positive,the symbols float like butterflies and the spinning styx sting like bees . i wanted more .,,,
positive,"if it's unnerving suspense you're after -- you'll find it with ring , an indisputably spooky film ; with a screenplay to die for .",,,
positive,"the art direction and costumes are gorgeous and finely detailed , and kurys' direction is clever and insightful .",,,
positive,red dragon makes one appreciate silence of the lambs .,,,
positive,"proves a servicable world war ii drama that can't totally hide its contrivances , but it at least calls attention to a problem hollywood too long has ignored .",,,
positive,"leigh isn't breaking new ground , but he knows how a daily grind can kill love .",,,
positive,"while broomfield's film doesn't capture the effect of these tragic deaths on hip-hop culture , it succeeds as a powerful look at a failure of our justice system .",,,
positive,". . . strips bible stores of the potential for sanctimoniousness , making them meaningful for both kids and church-wary adults .",,,
positive,"laugh-out-loud lines , adorably ditsy but heartfelt performances , and sparkling , bittersweet dialogue that cuts to the chase of the modern girl's dilemma .",,,
positive,"tends to pile too many "" serious issues "" on its plate at times , yet remains fairly light , always entertaining , and smartly written .",,,
positive,a solidly entertaining little film .,,,
positive,"it's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .",,,
positive,"sayles has a knack for casting , often resurrecting performers who rarely work in movies now . . . and drawing flavorful performances from bland actors .",,,
positive,"despite an overwrought ending , the film works as well as it does because of the performances .",,,
positive,a passionately inquisitive film determined to uncover the truth and hopefully inspire action .,,,
positive,"though nijinsky's words grow increasingly disturbed , the film maintains a beguiling serenity and poise that make it accessible for a non-narrative feature .",,,
positive,a muddle splashed with bloody beauty as vivid as any scorsese has ever given us .,,,
positive,"from both a great and a terrible story , mr . nelson has made a film that is an undeniably worthy and devastating experience .",,,
positive,"spider-man is about growing strange hairs , getting a more mature body , and finding it necessary to hide new secretions from the parental units .",,,
positive,the first shocking thing about sorority boys is that it's actually watchable . even more baffling is that it's funny .,,,
positive,"highlighted by a gritty style and an excellent cast , it's better than one might expect when you look at the list of movies starring ice-t in a major role .",,,
positive,"neither quite a comedy nor a romance , more of an impish divertissement of themes that interest attal and gainsbourg -- they live together -- the film has a lot of charm .",,,
positive,"first and foremost . . . the reason to go see "" blue crush "" is the phenomenal , water-born cinematography by david hennings .",,,
positive,"a visionary marvel , but it's lacking a depth in storytelling usually found in anime like this .",,,
positive,"the problems and characters it reveals are universal and involving , and the film itself -- as well its delightful cast -- is so breezy , pretty and gifted , it really won my heart .",,,
positive,"in his latest effort , storytelling , solondz has finally made a movie that isn't just offensive -- it also happens to be good .",,,
positive,"how i killed my father would be a rarity in hollywood . it's an actor's showcase that accomplishes its primary goal without the use of special effects , but rather by emphasizing the characters -- including the supporting ones .",,,
positive,"i just saw this movie . . . well , it's probably not accurate to call it a movie .",,,
positive,"what's most memorable about circuit is that it's shot on digital video , whose tiny camera enables shafer to navigate spaces both large . . . and small . . . with considerable aplomb .",,,
positive,"scherfig , the writer-director , has made a film so unabashedly hopeful that it actually makes the heart soar . yes , soar .",,,
positive,a delicious and delicately funny look at the residents of a copenhagen neighborhood coping with the befuddling complications life tosses at them .,,,
positive,""" what really happened ? "" is a question for philosophers , not filmmakers ; all the filmmakers need to do is engage an audience .",,,
positive,"soderbergh , like kubrick before him , may not touch the planet's skin , but understands the workings of its spirit .",,,
positive,"much credit must be given to the water-camera operating team of don king , sonny miller , and michael stewart . their work is fantastic .",,,
positive,crush is so warm and fuzzy you might be able to forgive its mean-spirited second half .,,,
positive,"franco is an excellent choice for the walled-off but combustible hustler , but he does not give the transcendent performance sonny needs to overcome gaps in character development and story logic .",,,
positive,"tsai ming-liang's witty , wistful new film , what time is it there ? , is a temporal inquiry that shoulders its philosophical burden lightly .",,,
positive,the pianist lacks the quick emotional connections of steven spielberg's schindler's list . but mr . polanski creates images even more haunting than those in mr . spielberg's 1993 classic .,,,
positive,"steers , in his feature film debut , has created a brilliant motion picture .",,,
positive,"a brilliant , absurd collection of vignettes that , in their own idiosyncratic way , sum up the strange horror of life in the new millennium .",,,
positive,"as warm as it is wise , deftly setting off uproarious humor with an underlying seriousness that sneaks up on the viewer , providing an experience that is richer than anticipated .",,,
positive,"the film may not hit as hard as some of the better drug-related pictures , but it still manages to get a few punches in .",,,
positive,old-fashioned but thoroughly satisfying entertainment .,,,
positive,"an energizing , intoxicating documentary charting the rise of hip-hop culture in general and the art of scratching ( or turntablism ) in particular .",,,
positive,"a fun family movie that's suitable for all ages -- a movie that will make you laugh , cry and realize , 'it's never too late to believe in your dreams . '",,,
positive,if you open yourself up to mr . reggio's theory of this imagery as the movie's set . . . it can impart an almost visceral sense of dislocation and change .,,,
positive,"i had a dream that a smart comedy would come along to rescue me from a summer of teen-driven , toilet-humor codswallop , and its name was earnest .",,,
positive,"even though the film doesn't manage to hit all of its marks , it's still entertaining to watch the target practice .",,,
positive,"where this was lazy but enjoyable , a formula comedy redeemed by its stars , that is even lazier and far less enjoyable .",,,
positive,"the 3-d vistas from orbit , with the space station suspended like a huge set of wind chimes over the great blue globe , are stanzas of breathtaking , awe-inspiring visual poetry .",,,
positive,"the attraction between these two marginal characters is complex from the start -- and , refreshingly , stays that way .",,,
positive,fans of the modern day hong kong action film finally have the worthy successor to a better tomorrow and the killer which they have been patiently waiting for .,,,
positive,"even when he's not at his most critically insightful , godard can still be smarter than any 50 other filmmakers still at work .",,,
positive,what sets this romantic comedy apart from most hollywood romantic comedies is its low-key way of tackling what seems like done-to-death material .,,,
positive,"has enough wit , energy and geniality to please not only the fanatical adherents on either side , but also people who know nothing about the subject and think they're not interested .",,,
positive,this seductive tease of a thriller gets the job done . it's a scorcher .,,,
positive,"bittersweet comedy/drama full of life , hand gestures , and some really adorable italian guys .",,,
positive,works as pretty contagious fun .,,,
positive,"the best didacticism is one carried by a strong sense of humanism , and bertrand tavernier's oft-brilliant safe conduct ( "" laissez-passer "" ) wears its heart on its sleeve .",,,
positive,a realistically terrifying movie that puts another notch in the belt of the long list of renegade-cop tales .,,,
positive,"a charming , banter-filled comedy . . . one of those airy cinematic bon bons whose aims -- and by extension , accomplishments -- seem deceptively slight on the surface .",,,
positive,a film with almost as many delights for adults as there are for children and dog lovers .,,,
positive,serious movie-goers embarking upon this journey will find that the road to perdition leads to a satisfying destination .,,,
positive,heartwarming and gently comic even as the film breaks your heart .,,,
positive,"caruso sometimes descends into sub-tarantino cuteness . . . but for the most part he makes sure the salton sea works the way a good noir should , keeping it tight and nasty .",,,
positive,"a "" black austin powers ? "" i prefer to think of it as "" pootie tang with a budget . "" sa da tay !",,,
positive,"oddly , the film isn't nearly as downbeat as it sounds , but strikes a tone that's alternately melancholic , hopeful and strangely funny .",,,
positive,"i would be shocked if there was actually one correct interpretation , but that shouldn't make the movie or the discussion any less enjoyable .",,,
positive,chouraqui brings documentary-like credibility to the horrors of the killing field and the barbarism of 'ethnic cleansing . ',,,
positive,the best thing i can say about this film is that i can't wait to see what the director does next .,,,
